slug,category,status,size,error
notcrawl,Integrations,success,1676 bytes,OK (1676 bytes)
note-processor,Integrations,success,9326 bytes,OK (9326 bytes)
notion-api-skill,Integrations,success,17422 bytes,OK (17422 bytes)
notioncli,Integrations,success,11909 bytes,OK (11909 bytes)
obsidian-official-cli,Integrations,success,9372 bytes,OK (9372 bytes)
ollama-integration,Integrations,success,1529 bytes,OK (1529 bytes)
openclaw-dashboard,Integrations,success,5549 bytes,OK (5549 bytes)
openclaw-linear,Integrations,success,6315 bytes,OK (6315 bytes)
pipedrive-api,Integrations,success,12850 bytes,OK (12850 bytes)
postgres-job-queue,Integrations,success,6155 bytes,OK (6155 bytes)
postgres-mcp-skills,Integrations,success,2283 bytes,OK (2283 bytes)
python-data-analysis,Integrations,success,1494 bytes,OK (1494 bytes)
pyx-scan,Integrations,success,6357 bytes,OK (6357 bytes)
reddit-research,Integrations,success,4800 bytes,OK (4800 bytes)
remix-api-key-auth,Integrations,success,2024 bytes,OK (2024 bytes)
secure-api-calls,Integrations,success,162271 bytes,OK (162271 bytes)
self-integration,Integrations,success,9910 bytes,OK (9910 bytes)
slack-api,Integrations,success,23132 bytes,OK (23132 bytes)
slacrawl,Integrations,success,1640 bytes,OK (1640 bytes)
sql,Integrations,success,5334 bytes,OK (5334 bytes)
sql-generator,Integrations,success,1984 bytes,OK (1984 bytes)
sql-toolkit,Integrations,success,12210 bytes,OK (12210 bytes)
sqlite,Integrations,success,4451 bytes,OK (4451 bytes)
telegram,Integrations,success,2586 bytes,OK (2586 bytes)
telegram-bot-builder,Integrations,success,1673 bytes,OK (1673 bytes)
text-to-sql,Integrations,success,6896 bytes,OK (6896 bytes)
tpn-proxy,Integrations,success,18716 bytes,OK (18716 bytes)
vector-control,Integrations,success,3714 bytes,OK (3714 bytes)
vpn-rotate-skill,Integrations,success,4619 bytes,OK (4619 bytes)
vue,Integrations,success,4828 bytes,OK (4828 bytes)
weiyun-skills,Integrations,success,22999 bytes,OK (22999 bytes)
whatsapp-ultimate,Integrations,success,14616 bytes,OK (14616 bytes)
write-my-blog,Integrations,success,5714 bytes,OK (5714 bytes)
ws-excel,Integrations,success,1107 bytes,OK (1107 bytes)
afrexai-knowledge-management,Knowledge,success,26954 bytes,OK (26954 bytes)
api-development,Knowledge,success,8369 bytes,OK (8369 bytes)
clawddocs,Knowledge,success,5711 bytes,OK (5711 bytes)
compress-pdf,Knowledge,success,2677 bytes,OK (2677 bytes)
context-driven-development,Knowledge,success,9764 bytes,OK (9764 bytes)
document-pdf,Knowledge,success,7253 bytes,OK (7253 bytes)
excel-formula,Knowledge,success,1673 bytes,OK (1673 bytes)
feishu-doc,Knowledge,success,2588 bytes,OK (2588 bytes)
feishu-doc-write,Knowledge,success,10166 bytes,OK (10166 bytes)
figma,Knowledge,success,7048 bytes,OK (7048 bytes)
generate-mindmap,Knowledge,success,5003 bytes,OK (5003 bytes)
generate-presentation,Knowledge,success,12521 bytes,OK (12521 bytes)
knowledge,Knowledge,success,1113 bytes,OK (1113 bytes)
knowledge-capture,Knowledge,success,4007 bytes,OK (4007 bytes)
learn,Knowledge,success,2975 bytes,OK (2975 bytes)
learn-cog,Knowledge,success,8755 bytes,OK (8755 bytes)
local-file-rag-basic,Knowledge,success,1806 bytes,OK (1806 bytes)
markdown-converter-compdf,Knowledge,success,9042 bytes,OK (9042 bytes)
merge-pdf,Knowledge,success,2534 bytes,OK (2534 bytes)
nano-pdf,Knowledge,success,1417 bytes,OK (1417 bytes)
pandoc-convert-openclaw,Knowledge,success,8239 bytes,OK (8239 bytes)
paper-parse,Knowledge,success,2341 bytes,OK (2341 bytes)
pdf,Knowledge,success,7223 bytes,OK (7223 bytes)
pdf-processor-cn,Knowledge,success,7953 bytes,OK (7953 bytes)
popeye-productivity,Knowledge,success,2572 bytes,OK (2572 bytes)
pptx-pdf-font-fix,Knowledge,success,2474 bytes,OK (2474 bytes)
skill-creator,Knowledge,success,18316 bytes,OK (18316 bytes)
solo-audit,Knowledge,success,4763 bytes,OK (4763 bytes)
upstage-document-parse,Knowledge,success,4833 bytes,OK (4833 bytes)
word-docx,Knowledge,success,8197 bytes,OK (8197 bytes)
word-docx-1,Knowledge,success,8201 bytes,OK (8201 bytes)
word-docx-1-02,Knowledge,success,8219 bytes,OK (8219 bytes)
apple-health-skill,Lifestyle,success,4396 bytes,OK (4396 bytes)
assistant,Lifestyle,success,4566 bytes,OK (4566 bytes)
build-game,Lifestyle,success,24304 bytes,OK (24304 bytes)
free-weather-api,Lifestyle,success,4752 bytes,OK (4752 bytes)
free-weather-skill,Lifestyle,success,1891 bytes,OK (1891 bytes)
game,Lifestyle,success,10540 bytes,OK (10540 bytes)
game-ai,Lifestyle,success,15821 bytes,OK (15821 bytes)
game-developer-skill,Lifestyle,success,4415 bytes,OK (4415 bytes)
game-theory,Lifestyle,success,11245 bytes,OK (11245 bytes)
health,Lifestyle,success,3311 bytes,OK (3311 bytes)
live-stream-script,Lifestyle,success,1876 bytes,OK (1876 bytes)
music,Lifestyle,success,4128 bytes,OK (4128 bytes)
personal-health-manager,Lifestyle,success,12411 bytes,OK (12411 bytes)
ping-monitor,Lifestyle,success,1277 bytes,OK (1277 bytes)
shop-culture,Lifestyle,success,23330 bytes,OK (23330 bytes)
text-game-arcade-universe-v3,Lifestyle,success,5261 bytes,OK (5261 bytes)
travel-assistant,Lifestyle,success,2160 bytes,OK (2160 bytes)
weather,Lifestyle,success,1854 bytes,OK (1854 bytes)
auto-monitor,Operations,success,1344 bytes,OK (1344 bytes)
aws,Operations,success,7091 bytes,OK (7091 bytes)
azure,Operations,success,5071 bytes,OK (5071 bytes)
docker,Operations,success,5094 bytes,OK (5094 bytes)
docker-ctl,Operations,success,1341 bytes,OK (1341 bytes)
docker-sandbox,Operations,success,7325 bytes,OK (7325 bytes)
k8s,Operations,success,4347 bytes,OK (4347 bytes)
kubernetes,Operations,success,5498 bytes,OK (5498 bytes)
kubernetes-devops,Operations,success,11618 bytes,OK (11618 bytes)
namecheap-dns,Operations,success,8568 bytes,OK (8568 bytes)
ocean-chat,Operations,success,14336 bytes,OK (14336 bytes)
qq-zone-photo,Operations,success,3011 bytes,OK (3011 bytes)
sovereign-aws-cost-optimizer,Operations,success,1586 bytes,OK (1586 bytes)
token-layer,Operations,success,9317 bytes,OK (9317 bytes)
agent,Other,success,3519 bytes,OK (3519 bytes)
agent-chat,Other,success,4255 bytes,OK (4255 bytes)
agent-commercial-contract,Other,success,10316 bytes,OK (10316 bytes)
agent-group,Other,success,962 bytes,OK (962 bytes)
anyone-proxy,Other,success,2618 bytes,OK (2618 bytes)
art,Other,success,3368 bytes,OK (3368 bytes)
audit,Other,success,1973 bytes,OK (1973 bytes)
baoyu-diagram,Other,success,12574 bytes,OK (12574 bytes)
book-painter,Other,success,2020 bytes,OK (2020 bytes)
cashu-emoji,Other,success,4486 bytes,OK (4486 bytes)
chart-generator-2-0-0,Other,success,3083 bytes,OK (3083 bytes)
chat,Other,success,2795 bytes,OK (2795 bytes)
clawprint,Other,success,22671 bytes,OK (22671 bytes)
cloud-storage,Other,success,3259 bytes,OK (3259 bytes)
compress,Other,success,3409 bytes,OK (3409 bytes)
control-ikea-lightbulb,Other,success,4111 bytes,OK (4111 bytes)
css,Other,success,4977 bytes,OK (4977 bytes)
ctxly-chat,Other,success,4246 bytes,OK (4246 bytes)
dashboard,Other,success,3275 bytes,OK (3275 bytes)
data,Other,success,3910 bytes,OK (3910 bytes)
diagram,Other,success,3665 bytes,OK (3665 bytes)
dns-lookup,Other,success,1525 bytes,OK (1525 bytes)
doc,Other,success,3769 bytes,OK (3769 bytes)
dogecoin-node,Other,success,11727 bytes,OK (11727 bytes)
domain-dns-ops,Other,success,3663 bytes,OK (3663 bytes)
expanso-log-sanitize,Other,success,1824 bytes,OK (1824 bytes)
file,Other,success,9228 bytes,OK (9228 bytes)
file-auto-organizer,Other,success,1789 bytes,OK (1789 bytes)
file-organizer-zh,Other,success,1432 bytes,OK (1432 bytes)
fonts,Other,success,4279 bytes,OK (4279 bytes)
frontend-design,Other,success,10131 bytes,OK (10131 bytes)
go-linter-configuration,Other,success,4560 bytes,OK (4560 bytes)
go-to-market,Other,success,10837 bytes,OK (10837 bytes)
google-fonts,Other,success,3731 bytes,OK (3731 bytes)
html,Other,success,2943 bytes,OK (2943 bytes)
humanizer,Other,success,18140 bytes,OK (18140 bytes)
interview-simulator,Other,success,11052 bytes,OK (11052 bytes)
java,Other,success,2562 bytes,OK (2562 bytes)
jinn-node,Other,success,5223 bytes,OK (5223 bytes)
juejin-skills,Other,success,7203 bytes,OK (7203 bytes)
linear,Other,success,4957 bytes,OK (4957 bytes)
mac-system-control,Other,success,3110 bytes,OK (3110 bytes)
manage-liquidity,Other,success,9696 bytes,OK (9696 bytes)
markdown,Other,success,2848 bytes,OK (2848 bytes)
mcporter,Other,success,2057 bytes,OK (2057 bytes)
miniprogram-development,Other,success,10895 bytes,OK (10895 bytes)
molt-board-art,Other,success,7584 bytes,OK (7584 bytes)
moltbook-filter,Other,success,6038 bytes,OK (6038 bytes)
molted-work,Other,success,23538 bytes,OK (23538 bytes)
monad-development,Other,success,8634 bytes,OK (8634 bytes)
monitor,Other,success,4094 bytes,OK (4094 bytes)
photo-webcam,Other,success,7173 bytes,OK (7173 bytes)
plugin-architecture,Other,success,2435 bytes,OK (2435 bytes)
powerpoint,Other,success,6590 bytes,OK (6590 bytes)
py,Other,success,2616 bytes,OK (2616 bytes)
python-dataviz,Other,success,6563 bytes,OK (6563 bytes)
report,Other,success,3782 bytes,OK (3782 bytes)
rust,Other,success,4408 bytes,OK (4408 bytes)
safe-encryption-skill,Other,success,50575 bytes,OK (50575 bytes)
screen-monitor,Other,success,2227 bytes,OK (2227 bytes)
sequential-read,Other,success,9861 bytes,OK (9861 bytes)
shadcn-ui,Other,success,17966 bytes,OK (17966 bytes)
shopify-helper,Other,success,1903 bytes,OK (1903 bytes)
smart-auto-updater,Other,success,5026 bytes,OK (5026 bytes)
smart-cache,Other,success,4195 bytes,OK (4195 bytes)
sonoscli,Other,success,1579 bytes,OK (1579 bytes)
story-long-analyze,Other,success,15036 bytes,OK (15036 bytes)
story-long-write,Other,success,37726 bytes,OK (37726 bytes)
story-short-write,Other,success,20144 bytes,OK (20144 bytes)
tardis,Other,success,8563 bytes,OK (8563 bytes)
tarot,Other,success,7117 bytes,OK (7117 bytes)
tarot-reader,Other,success,1945 bytes,OK (1945 bytes)
text,Other,success,2757 bytes,OK (2757 bytes)
token-manager,Other,success,10744 bytes,OK (10744 bytes)
tool,Other,success,6176 bytes,OK (6176 bytes)
tool-call-retry,Other,success,2939 bytes,OK (2939 bytes)
trade-with-taro,Other,success,5257 bytes,OK (5257 bytes)
translate,Other,success,3176 bytes,OK (3176 bytes)
ui-audit,Other,success,8629 bytes,OK (8629 bytes)
v2ray-proxy,Other,success,1752 bytes,OK (1752 bytes)
visual-file-sorter,Other,success,2391 bytes,OK (2391 bytes)
volcengine-network-dns,Other,success,1658 bytes,OK (1658 bytes)
web-content-fetcher,Other,success,2020 bytes,OK (2020 bytes)
wenxiang-2d5-banner,Other,success,6578 bytes,OK (6578 bytes)
word,Other,success,6533 bytes,OK (6533 bytes)
write,Other,success,2595 bytes,OK (2595 bytes)
write-a-skill,Other,success,3878 bytes,OK (3878 bytes)
xml,Other,success,3464 bytes,OK (3464 bytes)
xml-reader,Other,success,9066 bytes,OK (9066 bytes)
yaml,Other,success,3092 bytes,OK (3092 bytes)
azure-devops,Productivity,success,4161 bytes,OK (4161 bytes)
blog-seo-writer,Productivity,success,2698 bytes,OK (2698 bytes)
blog-writer,Productivity,success,7422 bytes,OK (7422 bytes)
brainz-calendar,Productivity,success,1613 bytes,OK (1613 bytes)
calendar,Productivity,success,1451 bytes,OK (1451 bytes)
calendar-skill,Productivity,success,5083 bytes,OK (5083 bytes)
clawhub-jira-pat-skill,Productivity,success,5419 bytes,OK (5419 bytes)
communication-skill,Productivity,success,7222 bytes,OK (7222 bytes)
daily-report-writer,Productivity,success,1276 bytes,OK (1276 bytes)
diagram-tools,Productivity,success,2391 bytes,OK (2391 bytes)
dingtalk-calendar,Productivity,success,5183 bytes,OK (5183 bytes)
feishu-calendar,Productivity,success,2483 bytes,OK (2483 bytes)
glitch-dashboard,Productivity,success,2682 bytes,OK (2682 bytes)
image,Productivity,success,14129 bytes,OK (14129 bytes)
jira,Productivity,success,6653 bytes,OK (6653 bytes)
meeting-note,Productivity,success,4224 bytes,OK (4224 bytes)
note,Productivity,success,4235 bytes,OK (4235 bytes)
note-taker,Productivity,success,5514 bytes,OK (5514 bytes)
notion,Productivity,success,5846 bytes,OK (5846 bytes)
notion-pages,Productivity,success,10710 bytes,OK (10710 bytes)
notion-skill,Productivity,success,2839 bytes,OK (2839 bytes)
personal-productivity,Productivity,success,3099 bytes,OK (3099 bytes)
powerpoint-pptx,Productivity,success,7412 bytes,OK (7412 bytes)
powerpoint-pptx-1-0-1,Productivity,success,7439 bytes,OK (7439 bytes)
powerpoint-pptx-cn,Productivity,success,7465 bytes,OK (7465 bytes)
proactive-agent,Productivity,success,21143 bytes,OK (21143 bytes)
productivity-improving,Productivity,success,5633 bytes,OK (5633 bytes)
python3,Productivity,success,2952 bytes,OK (2952 bytes)
quant-data-quality,Productivity,success,4873 bytes,OK (4873 bytes)
report-summary-builder,Productivity,success,2280 bytes,OK (2280 bytes)
smart-weekly-report,Productivity,success,7549 bytes,OK (7549 bytes)
task,Productivity,success,2875 bytes,OK (2875 bytes)
task-planner,Productivity,success,2431 bytes,OK (2431 bytes)
toby-productivity-helper-1,Productivity,success,1650 bytes,OK (1650 bytes)
toby-productivity-helper-4,Productivity,success,1650 bytes,OK (1650 bytes)
weekly-report-writer,Productivity,success,1781 bytes,OK (1781 bytes)
work,Productivity,success,3483 bytes,OK (3483 bytes)
writing-assistant,Productivity,success,1875 bytes,OK (1875 bytes)
ws-calendar,Productivity,success,1070 bytes,OK (1070 bytes)
agent-browser-clawdbot,Research,success,6107 bytes,OK (6107 bytes)
agent-browser-cli,Research,success,3780 bytes,OK (3780 bytes)
agent-browser-stagehand,Research,success,3398 bytes,OK (3398 bytes)
agent-framework-azure-ai-py,Research,success,11125 bytes,OK (11125 bytes)
agent-knowledge,Research,success,3460 bytes,OK (3460 bytes)
ai-news,Research,success,4280 bytes,OK (4280 bytes)
archive,Research,success,4208 bytes,OK (4208 bytes)
bailian-web-search,Research,success,1462 bytes,OK (1462 bytes)
brave-search,Research,success,2051 bytes,OK (2051 bytes)
browser-automation,Research,success,3358 bytes,OK (3358 bytes)
browser-automation-v2,Research,success,2823 bytes,OK (2823 bytes)
bsession,Research,success,8589 bytes,OK (8589 bytes)
cctv-news-fetcher,Research,success,1926 bytes,OK (1926 bytes)
china-news,Research,success,11182 bytes,OK (11182 bytes)
company-search-fengniao,Research,success,3407 bytes,OK (3407 bytes)
daily-news-brief,Research,success,4584 bytes,OK (4584 bytes)
feed-digest,Research,success,2549 bytes,OK (2549 bytes)
feed-to-md,Research,success,2874 bytes,OK (2874 bytes)
file-browser,Research,success,2292 bytes,OK (2292 bytes)
free-google-search-with-browser,Research,success,3050 bytes,OK (3050 bytes)
free-web-search,Research,success,4429 bytes,OK (4429 bytes)
gif-whatsapp,Research,success,4027 bytes,OK (4027 bytes)
gitcrawl,Research,success,2462 bytes,OK (2462 bytes)
google-search,Research,success,1793 bytes,OK (1793 bytes)
hot-news-aggregator,Research,success,2018 bytes,OK (2018 bytes)
in-depth-research,Research,success,4019 bytes,OK (4019 bytes)
internet-search,Research,success,3922 bytes,OK (3922 bytes)
internet-search-pro,Research,success,1652 bytes,OK (1652 bytes)
jellyfin-control,Research,success,9927 bytes,OK (9927 bytes)
job-auto-apply,Research,success,6996 bytes,OK (6996 bytes)
market-news,Research,success,1236 bytes,OK (1236 bytes)
multi-search-engine-simple,Research,success,1788 bytes,OK (1788 bytes)
multi-source-research,Research,success,2020 bytes,OK (2020 bytes)
news,Research,success,3280 bytes,OK (3280 bytes)
news-aggregator,Research,success,1711 bytes,OK (1711 bytes)
news-feed,Research,success,3145 bytes,OK (3145 bytes)
parallel-ai-research,Research,success,7825 bytes,OK (7825 bytes)
read-github,Research,success,3273 bytes,OK (3273 bytes)
research-agent,Research,success,7810 bytes,OK (7810 bytes)
rss-aggregator,Research,success,2228 bytes,OK (2228 bytes)
rss-digest,Research,success,2970 bytes,OK (2970 bytes)
rss-feed-digest,Research,success,2993 bytes,OK (2993 bytes)
rss-fetcher,Research,success,8767 bytes,OK (8767 bytes)
rss-reader,Research,success,4259 bytes,OK (4259 bytes)
scrape-web,Research,success,1383 bytes,OK (1383 bytes)
search-2,Research,success,5912 bytes,OK (5912 bytes)
searching-assistant,Research,success,2078 bytes,OK (2078 bytes)
social-sentiment,Research,success,2706 bytes,OK (2706 bytes)
solo-research,Research,success,13768 bytes,OK (13768 bytes)
solo-validate,Research,success,12541 bytes,OK (12541 bytes)
stagehand-browser-cli,Research,success,3380 bytes,OK (3380 bytes)
the-news,Research,success,4357 bytes,OK (4357 bytes)
thesis-helper,Research,success,1912 bytes,OK (1912 bytes)
tool-finder,Research,success,8075 bytes,OK (8075 bytes)
use-my-browser,Research,success,5686 bytes,OK (5686 bytes)
verify-claims,Research,success,20272 bytes,OK (20272 bytes)
web-browsing,Research,success,3187 bytes,OK (3187 bytes)
web-learner,Research,success,2379 bytes,OK (2379 bytes)
aegis-security,Security,success,11790 bytes,OK (11790 bytes)
afrexai-cybersecurity-engine,Security,success,32672 bytes,OK (32672 bytes)
agent-bom-vulnerability-intel,Security,success,4808 bytes,OK (4808 bytes)
agentic-security-audit,Security,success,26678 bytes,OK (26678 bytes)
amap-jsapi-skill,Security,success,8236 bytes,OK (8236 bytes)
cdn,Security,success,3342 bytes,OK (3342 bytes)
firewall,Security,success,4291 bytes,OK (4291 bytes)
go-security-vulnerability,Security,success,3265 bytes,OK (3265 bytes)
mac-node-snapshot,Security,success,2381 bytes,OK (2381 bytes)
moltblock,Security,success,5303 bytes,OK (5303 bytes)
moltbook-firewall,Security,success,4099 bytes,OK (4099 bytes)
multi-search-engine,Security,success,6930 bytes,OK (6930 bytes)
password-gen-pro,Security,success,12904 bytes,OK (12904 bytes)
password-generator,Security,success,1370 bytes,OK (1370 bytes)
pentest-commands,Security,success,8400 bytes,OK (8400 bytes)
security,Security,success,43286 bytes,OK (43286 bytes)
security-audit,Security,success,3351 bytes,OK (3351 bytes)
security-auditor,Security,success,11314 bytes,OK (11314 bytes)
security-scanner,Security,success,2249 bytes,OK (2249 bytes)
skill-vetter,Security,success,4665 bytes,OK (4665 bytes)
straker-verify,Security,success,4728 bytes,OK (4728 bytes)
vpn,Security,success,3265 bytes,OK (3265 bytes)
vulnerability-scanner,Security,success,8993 bytes,OK (8993 bytes)
web-vulnerability-assessment,Security,success,10314 bytes,OK (10314 bytes)
